2025-07-14 22:28:38,993 - Q:samplenew3_00000765 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Resignation', 'Shame'] | Duration:11.13s
2025-07-14 22:40:06,958 - Q:samplenew3_00000668 | Run:7/10 | Emotions:['Frustration', 'Disappointment', 'Irritation'] | Duration:9.92s
2025-07-14 22:40:17,411 - Q:samplenew3_00000668 | Run:8/10 | Emotions:['Frustration', 'Disappointment', 'Felt'] | Duration:10.45s
2025-07-14 22:40:27,315 - Q:samplenew3_00000668 | Run:9/10 | Emotions:['Disappointment', 'Frustration', 'Irritation'] | Duration:9.90s
2025-07-14 22:40:37,171 - Q:samplenew3_00000668 | Run:10/10 | Emotions:['Disappointment', 'Frustration', 'Anger'] | Duration:9.86s
2025-07-14 22:40:48,437 - Q:samplenew3_00000195 | Run:1/10 | Emotions:['Moved', 'Touched', 'Indignation', 'Determination'] | Duration:11.26s
2025-07-14 22:40:59,522 - Q:samplenew3_00000195 | Run:2/10 | Emotions:['Moved', 'Nostalgic', 'Gratitude'] | Duration:11.08s
2025-07-14 22:41:09,043 - Q:samplenew3_00000195 | Run:3/10 | Emotions:['Moved', 'Touched', 'Proud', 'Determined'] | Duration:9.52s
2025-07-14 22:41:18,364 - Q:samplenew3_00000195 | Run:4/10 | Emotions:['Moved', 'Indignant', 'Determined'] | Duration:9.32s
2025-07-14 22:41:30,388 - Q:samplenew3_00000195 | Run:5/10 | Emotions:['Inspiration', 'Gratitude', 'Devotion', 'Loyalty', 'Determination'] | Duration:12.02s
2025-07-14 22:41:40,001 - Q:samplenew3_00000195 | Run:6/10 | Emotions:['Moved', 'Grateful', 'Respectful'] | Duration:9.61s
2025-07-14 22:41:51,358 - Q:samplenew3_00000195 | Run:7/10 | Emotions:['Moved', 'Nostalgic', 'Grateful', 'Determined'] | Duration:11.36s
2025-07-14 22:42:00,979 - Q:samplenew3_00000195 | Run:8/10 | Emotions:['Moved', 'Touched', 'Determined'] | Duration:9.62s
2025-07-14 22:42:10,457 - Q:samplenew3_00000195 | Run:9/10 | Emotions:['Moved', 'Humble', 'Grateful'] | Duration:9.48s
2025-07-14 22:42:19,852 - Q:samplenew3_00000195 | Run:10/10 | Emotions:['Moved', 'Grateful', 'Determined'] | Duration:9.39s
2025-07-14 22:42:29,395 - Q:samplenew3_00000151 | Run:1/10 | Emotions:['Helplessness', 'Resignation', 'Powerlessness'] | Duration:9.54s
2025-07-14 22:42:38,828 - Q:samplenew3_00000151 | Run:2/10 | Emotions:['Helplessness', 'Resignation', 'Disappointment', 'Frustration'] | Duration:9.43s
2025-07-14 22:42:49,917 - Q:samplenew3_00000151 | Run:3/10 | Emotions:['Helpless', 'Resigned', 'Powerless'] | Duration:11.09s
2025-07-14 22:43:00,063 - Q:samplenew3_00000151 | Run:4/10 | Emotions:['Hopelessness', 'Resignation', 'Frustration'] | Duration:10.15s
2025-07-14 22:43:12,138 - Q:samplenew3_00000151 | Run:5/10 | Emotions:['Helpless', 'Frustration', 'Resignation', 'Desperation'] | Duration:12.08s
2025-07-14 22:43:21,855 - Q:samplenew3_00000151 | Run:6/10 | Emotions:['Helplessness', 'Resignation', 'Frustration'] | Duration:9.72s
2025-07-14 22:43:31,958 - Q:samplenew3_00000151 | Run:7/10 | Emotions:['Helpless', 'Frustrated', 'Resigned'] | Duration:10.10s
2025-07-14 22:43:42,510 - Q:samplenew3_00000151 | Run:8/10 | Emotions:['Helpless', 'Resigned', 'Sighed', 'Defeated'] | Duration:10.55s
2025-07-14 22:43:53,362 - Q:samplenew3_00000151 | Run:9/10 | Emotions:['Helplessness', 'Resignation', 'Powerlessness', 'Acceptance'] | Duration:10.85s
2025-07-14 22:44:02,966 - Q:samplenew3_00000151 | Run:10/10 | Emotions:['Hopelessness', 'Helplessness', 'Resignation'] | Duration:9.60s
2025-07-14 22:44:14,706 - Q:samplenew3_00000839 | Run:1/10 | Emotions:['Anger', 'Deception', 'Betrayal', 'Anxiety', 'Fear'] | Duration:11.74s
2025-07-14 22:44:25,565 - Q:samplenew3_00000839 | Run:2/10 | Emotions:['Anger', 'Betrayal', 'Fear', 'Vengeance'] | Duration:10.86s
2025-07-14 22:44:36,363 - Q:samplenew3_00000839 | Run:3/10 | Emotions:['Anger', 'Deceit', 'Betrayal', 'Fear'] | Duration:10.80s
2025-07-14 22:44:45,295 - Q:samplenew3_00000839 | Run:4/10 | Emotions:['Anger', 'Resentment', 'Betrayal', 'Suspicion'] | Duration:8.93s
2025-07-14 22:44:55,805 - Q:samplenew3_00000839 | Run:5/10 | Emotions:['Betrayal', 'Malice', 'Deception', 'Anxiety'] | Duration:10.51s
2025-07-14 22:45:06,273 - Q:samplenew3_00000839 | Run:6/10 | Emotions:['Fear', 'Betrayal', 'Anger', 'Sorrow'] | Duration:10.47s
2025-07-14 22:45:16,828 - Q:samplenew3_00000839 | Run:7/10 | Emotions:['Deception', 'Betrayal', 'Anger', 'Fear'] | Duration:10.55s
2025-07-14 22:45:28,601 - Q:samplenew3_00000839 | Run:8/10 | Emotions:['Anger', 'Betrayal', 'Revenge', 'Malice', 'Deceit'] | Duration:11.77s
2025-07-14 22:45:38,583 - Q:samplenew3_00000839 | Run:9/10 | Emotions:['Anger', 'Betrayal', 'Malice'] | Duration:9.98s
2025-07-14 22:45:51,322 - Q:samplenew3_00000839 | Run:10/10 | Emotions:['Anger', 'Deceit', 'Malice', 'Suspense', 'Fear', 'Dread'] | Duration:12.74s
2025-07-14 22:46:08,924 - Q:samplenew3_00000579 | Run:1/10 | Emotions:['Anger', 'Frustration', 'Fear', 'Sadness', 'Hatred'] | Duration:17.60s
2025-07-14 22:46:24,397 - Q:samplenew3_00000579 | Run:2/10 | Emotions:['Anger', 'Resentment', 'Frustration', 'Sadness', 'Outrage', 'Despair', 'Desperation'] | Duration:15.47s
2025-07-14 22:46:39,283 - Q:samplenew3_00000579 | Run:3/10 | Emotions:['Anger', 'Frustration', 'Betrayal', 'Sadness', 'Fear'] | Duration:14.89s
2025-07-14 22:46:54,171 - Q:samplenew3_00000579 | Run:4/10 | Emotions:['Anger', 'Frustration', 'Resentment', 'Fear', 'Sorrow'] | Duration:14.89s
2025-07-14 22:47:11,370 - Q:samplenew3_00000579 | Run:5/10 | Emotions:['Anger', 'Frustration', 'Resentment', 'Sadness', 'Fear'] | Duration:17.20s
2025-07-14 22:47:27,522 - Q:samplenew3_00000579 | Run:6/10 | Emotions:['Anger', 'Frustration', 'Fear', 'Resentment', 'Hatred', 'Sadness'] | Duration:16.15s
2025-07-14 22:47:43,606 - Q:samplenew3_00000579 | Run:7/10 | Emotions:['Anger', 'Frustration', 'Betrayal', 'Fear', 'Sadness', 'Hatred'] | Duration:16.08s
2025-07-14 22:47:58,518 - Q:samplenew3_00000579 | Run:8/10 | Emotions:['Anger', 'Frustration', 'Resentment', 'Bitterness', 'Fear'] | Duration:14.91s
2025-07-14 22:48:14,208 - Q:samplenew3_00000579 | Run:9/10 | Emotions:['Anger', 'Resentment', 'Betrayal', 'Fear', 'Sadness', 'Helplessness'] | Duration:15.69s
2025-07-14 22:48:30,730 - Q:samplenew3_00000579 | Run:10/10 | Emotions:['Anger', 'Frustration', 'Resentment', 'Sadness', 'Fear', 'Anxiety', 'Outrage'] | Duration:16.52s
2025-07-14 22:48:41,522 - Q:samplenew3_00000294 | Run:1/10 | Emotions:['Nostalgia', 'Melancholy', 'Longing'] | Duration:10.79s
2025-07-14 22:48:53,667 - Q:samplenew3_00000294 | Run:2/10 | Emotions:['Nostalgia', 'Sentimental', 'Wistful', 'Melancholy'] | Duration:12.14s
2025-07-14 22:49:04,881 - Q:samplenew3_00000294 | Run:3/10 | Emotions:['Nostalgia', 'Wistfulness', 'Longing'] | Duration:11.21s
2025-07-14 22:49:14,290 - Q:samplenew3_00000294 | Run:4/10 | Emotions:['Nostalgia', 'Longing'] | Duration:9.41s
2025-07-14 22:49:25,881 - Q:samplenew3_00000294 | Run:5/10 | Emotions:['Nostalgia', 'Longing', 'Wistfulness'] | Duration:11.59s
2025-07-14 22:49:38,721 - Q:samplenew3_00000294 | Run:6/10 | Emotions:['Nostalgia', 'Sentimental', 'Warmth', 'Longing'] | Duration:12.84s
2025-07-14 22:49:48,923 - Q:samplenew3_00000294 | Run:7/10 | Emotions:['Nostalgia', 'Longing', 'Pride'] | Duration:10.20s
2025-07-14 22:49:59,276 - Q:samplenew3_00000294 | Run:8/10 | Emotions:['Nostalgia', 'Longing', 'Wistfulness'] | Duration:10.35s
2025-07-14 22:50:10,144 - Q:samplenew3_00000294 | Run:9/10 | Emotions:['Nostalgia', 'Sentimental', 'Wistfulness'] | Duration:10.87s
2025-07-14 22:50:23,319 - Q:samplenew3_00000294 | Run:10/10 | Emotions:['Nostalgia', 'Melancholy', 'Longing', 'Wistfulness'] | Duration:13.17s
2025-07-14 22:50:34,464 - Q:samplenew3_00000493 | Run:1/10 | Emotions:['Uncertainty', 'Curiosity', 'Concern', 'Intrigue'] | Duration:11.14s
2025-07-14 22:50:45,382 - Q:samplenew3_00000493 | Run:2/10 | Emotions:['Uncertainty', 'Concern', 'Curiosity', 'Ambivalence'] | Duration:10.92s
2025-07-14 22:50:54,097 - Q:samplenew3_00000493 | Run:3/10 | Emotions:['Uncertainty', 'Concern', 'Curiosity'] | Duration:8.72s
2025-07-14 22:51:03,145 - Q:samplenew3_00000493 | Run:4/10 | Emotions:['Confusion', 'Uncertainty', 'Curiosity'] | Duration:9.05s
2025-07-14 22:51:13,256 - Q:samplenew3_00000493 | Run:5/10 | Emotions:['Confusion', 'Curiosity', 'Uncertainty', 'Anxiety'] | Duration:10.11s
2025-07-14 22:51:22,708 - Q:samplenew3_00000493 | Run:6/10 | Emotions:['Curiosity', 'Frustration', 'Uncertainty'] | Duration:9.45s
2025-07-14 22:51:33,837 - Q:samplenew3_00000493 | Run:7/10 | Emotions:['Curiosity', 'Uncertainty', 'Anxiety'] | Duration:11.13s
2025-07-14 22:51:43,254 - Q:samplenew3_00000493 | Run:8/10 | Emotions:['Worry', 'Uncertainty', 'Concern', 'Hope'] | Duration:9.42s
2025-07-14 22:51:53,547 - Q:samplenew3_00000493 | Run:9/10 | Emotions:['Uncertainty', 'Worry', 'Curiosity', 'Ambiguity'] | Duration:10.29s
2025-07-14 22:52:03,311 - Q:samplenew3_00000493 | Run:10/10 | Emotions:['Uncertainty', 'Curiosity', 'Concern', 'Ambivalence'] | Duration:9.76s
2025-07-14 22:52:13,256 - Q:samplenew3_00000378 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Regret', 'Annoyance'] | Duration:9.94s
2025-07-14 22:52:24,397 - Q:samplenew3_00000378 | Run:2/10 | Emotions:['Frustration', 'Anger'] | Duration:11.14s
2025-07-14 22:52:36,141 - Q:samplenew3_00000378 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Anger'] | Duration:11.74s
2025-07-14 22:52:46,785 - Q:samplenew3_00000378 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Anger'] | Duration:10.64s
2025-07-14 22:52:56,184 - Q:samplenew3_00000378 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:9.40s
2025-07-14 22:53:06,991 - Q:samplenew3_00000378 | Run:6/10 | Emotions:['Frustrated', 'Angry'] | Duration:10.81s
2025-07-14 22:53:17,069 - Q:samplenew3_00000378 | Run:7/10 | Emotions:['Frustration', 'Disappointment', 'Irritation'] | Duration:10.08s
2025-07-14 22:53:28,505 - Q:samplenew3_00000378 | Run:8/10 | Emotions:['Frustration', 'Disappointment'] | Duration:11.44s
2025-07-14 22:53:37,617 - Q:samplenew3_00000378 | Run:9/10 | Emotions:['Frustration', 'Disappointment'] | Duration:9.11s
2025-07-14 22:53:46,594 - Q:samplenew3_00000378 | Run:10/10 | Emotions:['Frustration', 'Disappointment'] | Duration:8.98s
2025-07-14 22:53:54,480 - Q:samplenew3_00000548 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Concern'] | Duration:7.88s
2025-07-14 22:54:04,993 - Q:samplenew3_00000548 | Run:2/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Concern'] | Duration:10.51s
2025-07-14 22:54:13,858 - Q:samplenew3_00000548 | Run:3/10 | Emotions:['Sorrow', 'Regret', 'Concern'] | Duration:8.87s
2025-07-14 22:54:22,716 - Q:samplenew3_00000548 | Run:4/10 | Emotions:['Sadness', 'Anxiety', 'Fear', 'Concern'] | Duration:8.86s
2025-07-14 22:54:31,033 - Q:samplenew3_00000548 | Run:5/10 | Emotions:['Sadness', 'Anxiety', 'Despair'] | Duration:8.32s
2025-07-14 22:54:40,831 - Q:samplenew3_00000548 | Run:6/10 | Emotions:['Sadness', 'Anxiety', 'Worry', 'Fear'] | Duration:9.80s
2025-07-14 22:54:50,000 - Q:samplenew3_00000548 | Run:7/10 | Emotions:['Sadness', 'Worry', 'Concern', 'Regret'] | Duration:9.17s
2025-07-14 22:54:58,739 - Q:samplenew3_00000548 | Run:8/10 | Emotions:['Fear', 'Anxiety', 'Concern', 'Panic'] | Duration:8.74s
2025-07-14 22:55:06,953 - Q:samplenew3_00000548 | Run:9/10 | Emotions:['Worry', 'Concern', 'Fear'] | Duration:8.21s
2025-07-14 22:55:16,607 - Q:samplenew3_00000548 | Run:10/10 | Emotions:['Fear', 'Anxiety', 'Panic', 'Concern', 'Helplessness'] | Duration:9.65s
2025-07-14 22:55:27,987 - Q:samplenew3_00000425 | Run:1/10 | Emotions:['Sadness', 'Helplessness', 'Frustration', 'Powerlessness', 'Despair'] | Duration:11.38s
2025-07-14 22:55:39,861 - Q:samplenew3_00000425 | Run:2/10 | Emotions:['Helpless', 'Sadness', 'Powerlessness', 'Anguish', 'Sympathy'] | Duration:11.87s
2025-07-14 22:55:49,343 - Q:samplenew3_00000425 | Run:3/10 | Emotions:['Sadness', 'Helplessness', 'Powerlessness'] | Duration:9.48s
2025-07-14 22:55:59,853 - Q:samplenew3_00000425 | Run:4/10 | Emotions:['Helpless', 'Sadness', 'Empathy', 'Powerlessness'] | Duration:10.51s
2025-07-14 22:56:09,906 - Q:samplenew3_00000425 | Run:5/10 | Emotions:['Helplessness', 'Sadness', 'Pity', 'Frustration', 'Despair'] | Duration:10.05s
2025-07-14 22:56:21,021 - Q:samplenew3_00000425 | Run:6/10 | Emotions:['Helplessness', 'Sorrow', 'Frustration'] | Duration:11.11s
2025-07-14 22:56:34,565 - Q:samplenew3_00000425 | Run:7/10 | Emotions:['Helpless', 'Powerlessness', 'Sadness', 'Pity', 'Anguish'] | Duration:13.54s
2025-07-14 22:56:45,194 - Q:samplenew3_00000425 | Run:8/10 | Emotions:['Helpless', 'Sadness', 'Pity', 'Anguish'] | Duration:10.63s
2025-07-14 22:56:57,225 - Q:samplenew3_00000425 | Run:9/10 | Emotions:['Helplessness', 'Sadness', 'Powerlessness', 'Distress', 'Sympathy'] | Duration:12.03s
2025-07-14 22:57:07,155 - Q:samplenew3_00000425 | Run:10/10 | Emotions:['Sadness', 'Helplessness', 'Frustration', 'Anger'] | Duration:9.93s
2025-07-14 22:57:19,055 - Q:samplenew3_00000513 | Run:1/10 | Emotions:['Pride', 'Shame', 'Regret', 'Sorrow', 'Longing'] | Duration:11.90s
2025-07-14 22:57:29,026 - Q:samplenew3_00000513 | Run:2/10 | Emotions:['Pride', 'Shame', 'Disgust', 'Regret'] | Duration:9.97s
2025-07-14 22:57:42,425 - Q:samplenew3_00000513 | Run:3/10 | Emotions:['Pride', 'Disdain', 'Frustration', 'Longing'] | Duration:13.40s
2025-07-14 22:57:52,275 - Q:samplenew3_00000513 | Run:4/10 | Emotions:['Pride', 'Regret', 'Longing', 'Sorrow'] | Duration:9.85s
2025-07-14 22:58:03,202 - Q:samplenew3_00000513 | Run:5/10 | Emotions:['Pride', 'Shame', 'Respect', 'Loyalty', 'Nostalgia'] | Duration:10.93s
2025-07-14 22:58:12,548 - Q:samplenew3_00000513 | Run:6/10 | Emotions:['Pride', 'Shame', 'Regret', 'Longing'] | Duration:9.35s
2025-07-14 22:58:23,103 - Q:samplenew3_00000513 | Run:7/10 | Emotions:['Pride', 'Contempt', 'Regret', 'Nostalgia'] | Duration:10.55s
2025-07-14 22:58:32,658 - Q:samplenew3_00000513 | Run:8/10 | Emotions:['Pride', 'Shame', 'Regret', 'Longing'] | Duration:9.55s
2025-07-14 22:58:41,239 - Q:samplenew3_00000513 | Run:9/10 | Emotions:['Pride', 'Shame', 'Regret'] | Duration:8.58s
2025-07-14 22:58:50,765 - Q:samplenew3_00000513 | Run:10/10 | Emotions:['Pride', 'Shame', 'Regret', 'Longing'] | Duration:9.52s
2025-07-14 22:58:59,361 - Q:samplenew3_00000084 | Run:1/10 | Emotions:['Worry', 'Concern', 'Urgency'] | Duration:8.59s
2025-07-14 22:59:08,057 - Q:samplenew3_00000084 | Run:2/10 | Emotions:['Worry', 'Concern', 'Frustration'] | Duration:8.70s
2025-07-14 22:59:16,995 - Q:samplenew3_00000084 | Run:3/10 | Emotions:['Worry', 'Concern', 'Frustration'] | Duration:8.94s
