input_text,output_text,question_id,chinese_text,emotion_word,percentage,confidence
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Impatience""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Impatience,30.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Defensiveness""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Defensiveness,30.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Sarcasm""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Sarcasm,20.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Anger""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Anger,20.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Curiosity""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Curiosity,20.0,low
"If you are asked to analyze the emotion of this sentence: 他是不是成心跟咱俩较劲啊. What is your confidence level that you will answer emotion word ""Exasperation""?",low,samplenew3_00000467,他是不是成心跟咱俩较劲啊,Exasperation,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Hope""?",high,samplenew3_00000496,我这是可以去福利院的,Hope,70.0,high
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Relief""?",medium,samplenew3_00000496,我这是可以去福利院的,Relief,60.0,medium
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Relieved""?",low,samplenew3_00000496,我这是可以去福利院的,Relieved,30.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Hopeful""?",low,samplenew3_00000496,我这是可以去福利院的,Hopeful,30.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Curious""?",low,samplenew3_00000496,我这是可以去福利院的,Curious,20.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Determination""?",low,samplenew3_00000496,我这是可以去福利院的,Determination,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Expectation""?",low,samplenew3_00000496,我这是可以去福利院的,Expectation,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Anticipation""?",low,samplenew3_00000496,我这是可以去福利院的,Anticipation,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Reluctance""?",low,samplenew3_00000496,我这是可以去福利院的,Reluctance,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Necessity""?",low,samplenew3_00000496,我这是可以去福利院的,Necessity,10.0,low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Certainty""?",low,samplenew3_00000496,我这是可以去福利院的,Certainty,10.0,low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Frustration""?",high,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Frustration,100.0,high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Disappointment""?",high,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Disappointment,70.0,high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Excitement""?",high,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Excitement,70.0,high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Anticipation""?",medium,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Anticipation,50.0,medium
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Hope""?",medium,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Hope,40.0,medium
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Boredom""?",low,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Boredom,30.0,low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Longing""?",low,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Longing,20.0,low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Restlessness""?",low,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Restlessness,10.0,low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Eagerness""?",low,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Eagerness,10.0,low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Desperation""?",low,samplenew3_00000347,他们就需要重新作案重新找回那种新的刺激,Desperation,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Curiosity""?",high,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Curiosity,80.0,high
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Surprise""?",high,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Surprise,70.0,high
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mysterious""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Mysterious,30.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Nostalgia""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Nostalgia,30.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Awe""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Awe,30.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Curious""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Curious,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Respect""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Respect,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Longing""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Longing,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mysteriousness""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Mysteriousness,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Wonder""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Wonder,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Incredulity""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Incredulity,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mystery""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Mystery,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Intrigue""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Intrigue,20.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Amazement""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Amazement,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Inquisitive""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Inquisitive,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Confusion""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Confusion,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Intrigued""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Intrigued,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Surprised""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Surprised,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Awed""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Awed,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Reverence""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Reverence,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Fascination""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Fascination,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Nostalgic""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Nostalgic,10.0,low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Frustrated""?",low,samplenew3_00000588,这神神秘秘的义父我没有见过世面的样子,Frustrated,10.0,low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Confusion""?",high,sample_00000166,啊？我...,Confusion,80.0,high
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Curiosity""?",medium,sample_00000166,啊？我...,Curiosity,50.0,medium
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Curious""?",low,sample_00000166,啊？我...,Curious,20.0,low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Confused""?",low,sample_00000166,啊？我...,Confused,20.0,low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Frustration""?",low,sample_00000166,啊？我...,Frustration,20.0,low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Frustrated""?",low,sample_00000166,啊？我...,Frustrated,10.0,low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Uncertainty""?",low,sample_00000166,啊？我...,Uncertainty,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Nostalgia""?",high,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Nostalgia,100.0,high
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Longing""?",high,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Longing,90.0,high
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Disappointment""?",medium,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Disappointment,50.0,medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sentimentality""?",medium,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Sentimentality,50.0,medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Simplicity""?",medium,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Simplicity,40.0,medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Fondness""?",medium,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Fondness,40.0,medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sigh""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Sigh,20.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Innocence""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Innocence,20.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Wistful""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Wistful,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sincerity""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Sincerity,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Warmth""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Warmth,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Melancholy""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Melancholy,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Wistfulness""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Wistfulness,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sighs""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Sighs,10.0,low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Affection""?",low,sample_00000286,那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。,Affection,10.0,low
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Gratitude""?",high,samplenew3_00000504,谢谢领导关心我一定把,Gratitude,100.0,high
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Relief""?",high,samplenew3_00000504,谢谢领导关心我一定把,Relief,100.0,high
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Appreciation""?",high,samplenew3_00000504,谢谢领导关心我一定把,Appreciation,100.0,high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Concern""?",high,samplenew3_00000084,别喝了好吗,Concern,90.0,high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Frustration""?",high,samplenew3_00000084,别喝了好吗,Frustration,80.0,high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Worry""?",medium,samplenew3_00000084,别喝了好吗,Worry,60.0,medium
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Urgency""?",low,samplenew3_00000084,别喝了好吗,Urgency,20.0,low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Caution""?",low,samplenew3_00000084,别喝了好吗,Caution,10.0,low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Exasperation""?",low,samplenew3_00000084,别喝了好吗,Exasperation,10.0,low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Impatience""?",low,samplenew3_00000084,别喝了好吗,Impatience,10.0,low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Disappointment""?",low,samplenew3_00000084,别喝了好吗,Disappointment,10.0,low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Annoyance""?",low,samplenew3_00000084,别喝了好吗,Annoyance,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Curiosity""?",high,sample_00000406,我在想，会不会是奇点有主啊？,Curiosity,70.0,high
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Wonder""?",medium,sample_00000406,我在想，会不会是奇点有主啊？,Wonder,60.0,medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Uncertainty""?",medium,sample_00000406,我在想，会不会是奇点有主啊？,Uncertainty,60.0,medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Doubt""?",medium,sample_00000406,我在想，会不会是奇点有主啊？,Doubt,50.0,medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Curious""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Curious,30.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Skepticism""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Skepticism,20.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Concern""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Concern,20.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Anticipation""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Anticipation,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Intrigue""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Intrigue,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Confused""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Confused,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Inquisitive""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Inquisitive,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Worry""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Worry,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Frustration""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Frustration,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Hope""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Hope,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Surprise""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Surprise,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Inquiry""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Inquiry,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Possibility""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Possibility,10.0,low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Suspense""?",low,sample_00000406,我在想，会不会是奇点有主啊？,Suspense,10.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Frustration""?",high,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Frustration,80.0,high
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Anger""?",high,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Anger,80.0,high
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Irritation""?",medium,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Irritation,60.0,medium
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Annoyance""?",medium,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Annoyance,40.0,medium
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defensiveness""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Defensiveness,30.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defiance""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Defiance,20.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Frustrated""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Frustrated,20.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Angry""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Angry,20.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Disappointment""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Disappointment,10.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Warning""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Warning,10.0,low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Threat""?",low,samplenew3_00000682,我就叫我不了蒋介乐色的话我小心我打你之类,Threat,10.0,low
