input,output
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Anticipation""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Reluctance""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Necessity""?",low
"If you are asked to analyze the emotion of this sentence: 我这是可以去福利院的. What is your confidence level that you will answer emotion word ""Certainty""?",low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Excitement""?",high
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Anticipation""?",medium
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Hope""?",medium
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Boredom""?",low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Restlessness""?",low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Eagerness""?",low
"If you are asked to analyze the emotion of this sentence: 他们就需要重新作案重新找回那种新的刺激. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Surprise""?",high
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mysterious""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Awe""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Respect""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mysteriousness""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Wonder""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Incredulity""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Mystery""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Intrigue""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Amazement""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Inquisitive""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Confusion""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Intrigued""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Surprised""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Awed""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Reverence""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Fascination""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Nostalgic""?",low
"If you are asked to analyze the emotion of this sentence: 这神神秘秘的义父我没有见过世面的样子. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Curiosity""?",medium
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 啊？我.... What is your confidence level that you will answer emotion word ""Uncertainty""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Nostalgia""?",high
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Longing""?",high
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Disappointment""?",medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sentimentality""?",medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Simplicity""?",medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Fondness""?",medium
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sigh""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Innocence""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Wistful""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sincerity""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Warmth""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Melancholy""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Wistfulness""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Sighs""?",low
"If you are asked to analyze the emotion of this sentence: 那倒不是，反正我就觉着吧，她没有刚见面的时候，那么可爱，那么单纯了。. What is your confidence level that you will answer emotion word ""Affection""?",low
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Gratitude""?",high
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Relief""?",high
"If you are asked to analyze the emotion of this sentence: 谢谢领导关心我一定把. What is your confidence level that you will answer emotion word ""Appreciation""?",high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Concern""?",high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Worry""?",medium
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Urgency""?",low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Caution""?",low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Exasperation""?",low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Impatience""?",low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 别喝了好吗. What is your confidence level that you will answer emotion word ""Annoyance""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Wonder""?",medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Uncertainty""?",medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Doubt""?",medium
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Curious""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Skepticism""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Anticipation""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Intrigue""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Inquisitive""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Worry""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Hope""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Inquiry""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Possibility""?",low
"If you are asked to analyze the emotion of this sentence: 我在想，会不会是奇点有主啊？. What is your confidence level that you will answer emotion word ""Suspense""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Anger""?",high
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Irritation""?",medium
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Annoyance""?",medium
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defensiveness""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defiance""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Angry""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Warning""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Threat""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Protective""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defiant""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Fear""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Defensive""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Annoyed""?",low
"If you are asked to analyze the emotion of this sentence: 我就叫我不了蒋介乐色的话我小心我打你之类. What is your confidence level that you will answer emotion word ""Disgust""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Disdain""?",medium
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Annoyance""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Disinterest""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Resentment""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Indifference""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Condescension""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Resignation""?",low
"If you are asked to analyze the emotion of this sentence: 你要不是那块料啊他看都不会看你一眼. What is your confidence level that you will answer emotion word ""Futility""?",low
"If you are asked to analyze the emotion of this sentence: 我是店长镇主持. What is your confidence level that you will answer emotion word ""Confident""?",high
"If you are asked to analyze the emotion of this sentence: 我是店长镇主持. What is your confidence level that you will answer emotion word ""Authoritative""?",high
"If you are asked to analyze the emotion of this sentence: 我是店长镇主持. What is your confidence level that you will answer emotion word ""Responsible""?",low
"If you are asked to analyze the emotion of this sentence: 我是店长镇主持. What is your confidence level that you will answer emotion word ""Determined""?",low
"If you are asked to analyze the emotion of this sentence: 我是店长镇主持. What is your confidence level that you will answer emotion word ""Serious""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Disappointment""?",medium
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Curiosity""?",medium
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Anger""?",medium
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Defensiveness""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Annoyance""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Suspicion""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Anxious""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Disappointed""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Hopeful""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Bitterness""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Indignation""?",low
"If you are asked to analyze the emotion of this sentence: 那年突围后我还到保卫局去找过你保卫局的人说你调走了他们问我找你干什么我说. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Anger""?",high
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Disgust""?",high
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Shock""?",low
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Outrage""?",low
"If you are asked to analyze the emotion of this sentence: 真猛啊！这罪你都受得起！. What is your confidence level that you will answer emotion word ""Indignation""?",low
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Surprise""?",medium
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Mystery""?",medium
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Intrigue""?",medium
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Incredulity""?",low
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Wonder""?",low
"If you are asked to analyze the emotion of this sentence: 这一扇窗户怎么会有两种眼神. What is your confidence level that you will answer emotion word ""Amusement""?",low
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Regret""?",high
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Disappointment""?",high
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 如果我当时知道实情，我是不会离开美国的。. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Relief""?",high
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Frustration""?",medium
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Disappointment""?",medium
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Skepticism""?",medium
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Uncertainty""?",low
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Doubt""?",low
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Worry""?",low
